date,segment_id,displaced_persons,civilian_casualties,aid_deliveries
2024-01-07,PREAH_VIHEAR_TEMPLE,0,0,0
2024-01-07,TA_MUEN_THOM_TEMPLE,0,0,0
2024-01-07,TA_KRABEY_TEMPLE,0,0,0
2024-01-07,OSMACH_CHECKPOINT,0,0,0
2024-01-07,CHONG_CHOM_CHECKPOINT,0,0,0
2024-01-07,ARANYAPRATHET_POIPET,0,0,0
2024-01-07,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-01-07,BAN_KRUAT,0,0,0
2024-01-07,KANTHARALAK,0,0,0
2024-01-07,SAMRAONG,0,0,0
2024-01-14,PREAH_VIHEAR_TEMPLE,0,0,0
2024-01-14,TA_MUEN_THOM_TEMPLE,62,0,2
2024-01-14,TA_KRABEY_TEMPLE,0,0,0
2024-01-14,OSMACH_CHECKPOINT,0,0,0
2024-01-14,CHONG_CHOM_CHECKPOINT,0,0,0
2024-01-14,ARANYAPRATHET_POIPET,0,0,0
2024-01-14,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-01-14,BAN_KRUAT,100,0,1
2024-01-14,KANTHARALAK,0,0,0
2024-01-14,SAMRAONG,0,0,0
2024-01-21,PREAH_VIHEAR_TEMPLE,0,0,0
2024-01-21,TA_MUEN_THOM_TEMPLE,0,0,0
2024-01-21,TA_KRABEY_TEMPLE,0,0,0
2024-01-21,OSMACH_CHECKPOINT,0,0,0
2024-01-21,CHONG_CHOM_CHECKPOINT,0,0,0
2024-01-21,ARANYAPRATHET_POIPET,0,0,0
2024-01-21,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-01-21,BAN_KRUAT,0,0,0
2024-01-21,KANTHARALAK,164,0,2
2024-01-21,SAMRAONG,0,0,0
2024-01-28,PREAH_VIHEAR_TEMPLE,0,0,0
2024-01-28,TA_MUEN_THOM_TEMPLE,0,0,0
2024-01-28,TA_KRABEY_TEMPLE,0,0,0
2024-01-28,OSMACH_CHECKPOINT,0,0,0
2024-01-28,CHONG_CHOM_CHECKPOINT,0,0,0
2024-01-28,ARANYAPRATHET_POIPET,0,0,0
2024-01-28,PHANOM_DONG_RAK_RIDGE,81,1,1
2024-01-28,BAN_KRUAT,0,0,0
2024-01-28,KANTHARALAK,0,0,0
2024-01-28,SAMRAONG,0,0,0
2024-02-04,PREAH_VIHEAR_TEMPLE,0,0,0
2024-02-04,TA_MUEN_THOM_TEMPLE,0,0,0
2024-02-04,TA_KRABEY_TEMPLE,0,0,0
2024-02-04,OSMACH_CHECKPOINT,0,0,0
2024-02-04,CHONG_CHOM_CHECKPOINT,0,0,0
2024-02-04,ARANYAPRATHET_POIPET,0,0,0
2024-02-04,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-02-04,BAN_KRUAT,0,0,0
2024-02-04,KANTHARALAK,0,0,0
2024-02-04,SAMRAONG,0,0,0
2024-02-11,PREAH_VIHEAR_TEMPLE,0,0,0
2024-02-11,TA_MUEN_THOM_TEMPLE,0,0,0
2024-02-11,TA_KRABEY_TEMPLE,0,0,0
2024-02-11,OSMACH_CHECKPOINT,0,0,0
2024-02-11,CHONG_CHOM_CHECKPOINT,0,0,0
2024-02-11,ARANYAPRATHET_POIPET,0,0,0
2024-02-11,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-02-11,BAN_KRUAT,0,0,0
2024-02-11,KANTHARALAK,0,0,0
2024-02-11,SAMRAONG,0,0,0
2024-02-18,PREAH_VIHEAR_TEMPLE,0,0,0
2024-02-18,TA_MUEN_THOM_TEMPLE,197,1,1
2024-02-18,TA_KRABEY_TEMPLE,0,0,0
2024-02-18,OSMACH_CHECKPOINT,0,0,0
2024-02-18,CHONG_CHOM_CHECKPOINT,0,0,0
2024-02-18,ARANYAPRATHET_POIPET,0,0,0
2024-02-18,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-02-18,BAN_KRUAT,0,0,0
2024-02-18,KANTHARALAK,0,0,0
2024-02-18,SAMRAONG,0,0,0
2024-02-25,PREAH_VIHEAR_TEMPLE,0,0,0
2024-02-25,TA_MUEN_THOM_TEMPLE,0,0,0
2024-02-25,TA_KRABEY_TEMPLE,0,0,0
2024-02-25,OSMACH_CHECKPOINT,0,0,0
2024-02-25,CHONG_CHOM_CHECKPOINT,0,0,0
2024-02-25,ARANYAPRATHET_POIPET,0,0,0
2024-02-25,PHANOM_DONG_RAK_RIDGE,89,0,0
2024-02-25,BAN_KRUAT,0,0,0
2024-02-25,KANTHARALAK,0,0,0
2024-02-25,SAMRAONG,0,0,0
2024-03-03,PREAH_VIHEAR_TEMPLE,0,0,0
2024-03-03,TA_MUEN_THOM_TEMPLE,0,0,0
2024-03-03,TA_KRABEY_TEMPLE,0,0,0
2024-03-03,OSMACH_CHECKPOINT,0,0,0
2024-03-03,CHONG_CHOM_CHECKPOINT,0,0,0
2024-03-03,ARANYAPRATHET_POIPET,0,0,0
2024-03-03,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-03-03,BAN_KRUAT,0,0,0
2024-03-03,KANTHARALAK,0,0,0
2024-03-03,SAMRAONG,0,0,0
2024-03-10,PREAH_VIHEAR_TEMPLE,0,0,0
2024-03-10,TA_MUEN_THOM_TEMPLE,0,0,0
2024-03-10,TA_KRABEY_TEMPLE,0,0,0
2024-03-10,OSMACH_CHECKPOINT,0,0,0
2024-03-10,CHONG_CHOM_CHECKPOINT,0,0,0
2024-03-10,ARANYAPRATHET_POIPET,0,0,0
2024-03-10,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-03-10,BAN_KRUAT,0,0,0
2024-03-10,KANTHARALAK,0,0,0
2024-03-10,SAMRAONG,0,0,0
2024-03-17,PREAH_VIHEAR_TEMPLE,41,0,1
2024-03-17,TA_MUEN_THOM_TEMPLE,0,0,0
2024-03-17,TA_KRABEY_TEMPLE,0,0,0
2024-03-17,OSMACH_CHECKPOINT,0,0,0
2024-03-17,CHONG_CHOM_CHECKPOINT,0,0,0
2024-03-17,ARANYAPRATHET_POIPET,0,0,0
2024-03-17,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-03-17,BAN_KRUAT,0,0,0
2024-03-17,KANTHARALAK,119,0,2
2024-03-17,SAMRAONG,0,0,0
2024-03-24,PREAH_VIHEAR_TEMPLE,152,0,2
2024-03-24,TA_MUEN_THOM_TEMPLE,0,0,0
2024-03-24,TA_KRABEY_TEMPLE,0,0,0
2024-03-24,OSMACH_CHECKPOINT,0,0,0
2024-03-24,CHONG_CHOM_CHECKPOINT,0,0,0
2024-03-24,ARANYAPRATHET_POIPET,0,0,0
2024-03-24,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-03-24,BAN_KRUAT,50,0,0
2024-03-24,KANTHARALAK,0,0,0
2024-03-24,SAMRAONG,0,0,0
2024-03-31,PREAH_VIHEAR_TEMPLE,0,0,0
2024-03-31,TA_MUEN_THOM_TEMPLE,0,0,0
2024-03-31,TA_KRABEY_TEMPLE,0,0,0
2024-03-31,OSMACH_CHECKPOINT,0,0,0
2024-03-31,CHONG_CHOM_CHECKPOINT,0,0,0
2024-03-31,ARANYAPRATHET_POIPET,0,0,0
2024-03-31,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-03-31,BAN_KRUAT,0,0,0
2024-03-31,KANTHARALAK,0,0,0
2024-03-31,SAMRAONG,0,0,0
2024-04-07,PREAH_VIHEAR_TEMPLE,0,0,0
2024-04-07,TA_MUEN_THOM_TEMPLE,51,0,1
2024-04-07,TA_KRABEY_TEMPLE,0,0,0
2024-04-07,OSMACH_CHECKPOINT,0,0,0
2024-04-07,CHONG_CHOM_CHECKPOINT,0,0,0
2024-04-07,ARANYAPRATHET_POIPET,0,0,0
2024-04-07,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-04-07,BAN_KRUAT,0,0,0
2024-04-07,KANTHARALAK,0,0,0
2024-04-07,SAMRAONG,173,0,1
2024-04-14,PREAH_VIHEAR_TEMPLE,0,0,0
2024-04-14,TA_MUEN_THOM_TEMPLE,0,0,0
2024-04-14,TA_KRABEY_TEMPLE,0,0,0
2024-04-14,OSMACH_CHECKPOINT,0,0,0
2024-04-14,CHONG_CHOM_CHECKPOINT,0,0,0
2024-04-14,ARANYAPRATHET_POIPET,0,0,0
2024-04-14,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-04-14,BAN_KRUAT,0,0,0
2024-04-14,KANTHARALAK,65,0,2
2024-04-14,SAMRAONG,0,0,0
2024-04-21,PREAH_VIHEAR_TEMPLE,0,0,0
2024-04-21,TA_MUEN_THOM_TEMPLE,0,0,0
2024-04-21,TA_KRABEY_TEMPLE,0,0,0
2024-04-21,OSMACH_CHECKPOINT,0,0,0
2024-04-21,CHONG_CHOM_CHECKPOINT,0,0,0
2024-04-21,ARANYAPRATHET_POIPET,0,0,0
2024-04-21,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-04-21,BAN_KRUAT,0,0,0
2024-04-21,KANTHARALAK,0,0,0
2024-04-21,SAMRAONG,0,0,0
2024-04-28,PREAH_VIHEAR_TEMPLE,0,0,0
2024-04-28,TA_MUEN_THOM_TEMPLE,0,0,0
2024-04-28,TA_KRABEY_TEMPLE,0,0,0
2024-04-28,OSMACH_CHECKPOINT,0,0,0
2024-04-28,CHONG_CHOM_CHECKPOINT,0,0,0
2024-04-28,ARANYAPRATHET_POIPET,0,0,0
2024-04-28,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-04-28,BAN_KRUAT,0,0,0
2024-04-28,KANTHARALAK,0,0,0
2024-04-28,SAMRAONG,0,0,0
2024-05-05,PREAH_VIHEAR_TEMPLE,0,0,0
2024-05-05,TA_MUEN_THOM_TEMPLE,0,0,0
2024-05-05,TA_KRABEY_TEMPLE,0,0,0
2024-05-05,OSMACH_CHECKPOINT,0,0,0
2024-05-05,CHONG_CHOM_CHECKPOINT,0,0,0
2024-05-05,ARANYAPRATHET_POIPET,24,1,2
2024-05-05,PHANOM_DONG_RAK_RIDGE,14,1,0
2024-05-05,BAN_KRUAT,0,0,0
2024-05-05,KANTHARALAK,0,0,0
2024-05-05,SAMRAONG,0,0,0
2024-05-12,PREAH_VIHEAR_TEMPLE,0,0,0
2024-05-12,TA_MUEN_THOM_TEMPLE,0,0,0
2024-05-12,TA_KRABEY_TEMPLE,0,0,0
2024-05-12,OSMACH_CHECKPOINT,0,0,0
2024-05-12,CHONG_CHOM_CHECKPOINT,0,0,0
2024-05-12,ARANYAPRATHET_POIPET,0,0,0
2024-05-12,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-05-12,BAN_KRUAT,0,0,0
2024-05-12,KANTHARALAK,134,0,2
2024-05-12,SAMRAONG,0,0,0
2024-05-19,PREAH_VIHEAR_TEMPLE,60,1,2
2024-05-19,TA_MUEN_THOM_TEMPLE,0,0,0
2024-05-19,TA_KRABEY_TEMPLE,0,0,0
2024-05-19,OSMACH_CHECKPOINT,0,0,0
2024-05-19,CHONG_CHOM_CHECKPOINT,0,0,0
2024-05-19,ARANYAPRATHET_POIPET,0,0,0
2024-05-19,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-05-19,BAN_KRUAT,0,0,0
2024-05-19,KANTHARALAK,0,0,0
2024-05-19,SAMRAONG,0,0,0
2024-05-26,PREAH_VIHEAR_TEMPLE,0,0,0
2024-05-26,TA_MUEN_THOM_TEMPLE,0,0,0
2024-05-26,TA_KRABEY_TEMPLE,0,0,0
2024-05-26,OSMACH_CHECKPOINT,0,0,0
2024-05-26,CHONG_CHOM_CHECKPOINT,0,0,0
2024-05-26,ARANYAPRATHET_POIPET,0,0,0
2024-05-26,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-05-26,BAN_KRUAT,0,0,0
2024-05-26,KANTHARALAK,0,0,0
2024-05-26,SAMRAONG,0,0,0
2024-06-02,PREAH_VIHEAR_TEMPLE,191,0,1
2024-06-02,TA_MUEN_THOM_TEMPLE,0,0,0
2024-06-02,TA_KRABEY_TEMPLE,0,0,0
2024-06-02,OSMACH_CHECKPOINT,0,0,0
2024-06-02,CHONG_CHOM_CHECKPOINT,0,0,0
2024-06-02,ARANYAPRATHET_POIPET,0,0,0
2024-06-02,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-06-02,BAN_KRUAT,0,0,0
2024-06-02,KANTHARALAK,0,0,0
2024-06-02,SAMRAONG,0,0,0
2024-06-09,PREAH_VIHEAR_TEMPLE,0,0,0
2024-06-09,TA_MUEN_THOM_TEMPLE,196,0,0
2024-06-09,TA_KRABEY_TEMPLE,0,0,0
2024-06-09,OSMACH_CHECKPOINT,0,0,0
2024-06-09,CHONG_CHOM_CHECKPOINT,0,0,0
2024-06-09,ARANYAPRATHET_POIPET,0,0,0
2024-06-09,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-06-09,BAN_KRUAT,0,0,0
2024-06-09,KANTHARALAK,0,0,0
2024-06-09,SAMRAONG,0,0,0
2024-06-16,PREAH_VIHEAR_TEMPLE,0,0,0
2024-06-16,TA_MUEN_THOM_TEMPLE,0,0,0
2024-06-16,TA_KRABEY_TEMPLE,0,0,0
2024-06-16,OSMACH_CHECKPOINT,0,0,0
2024-06-16,CHONG_CHOM_CHECKPOINT,0,0,0
2024-06-16,ARANYAPRATHET_POIPET,148,0,2
2024-06-16,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-06-16,BAN_KRUAT,0,0,0
2024-06-16,KANTHARALAK,0,0,0
2024-06-16,SAMRAONG,0,0,0
2024-06-23,PREAH_VIHEAR_TEMPLE,0,0,0
2024-06-23,TA_MUEN_THOM_TEMPLE,0,0,0
2024-06-23,TA_KRABEY_TEMPLE,0,0,0
2024-06-23,OSMACH_CHECKPOINT,0,0,0
2024-06-23,CHONG_CHOM_CHECKPOINT,0,0,0
2024-06-23,ARANYAPRATHET_POIPET,0,0,0
2024-06-23,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-06-23,BAN_KRUAT,0,0,0
2024-06-23,KANTHARALAK,0,0,0
2024-06-23,SAMRAONG,0,0,0
2024-06-30,PREAH_VIHEAR_TEMPLE,0,0,0
2024-06-30,TA_MUEN_THOM_TEMPLE,102,1,2
2024-06-30,TA_KRABEY_TEMPLE,161,0,1
2024-06-30,OSMACH_CHECKPOINT,47,0,2
2024-06-30,CHONG_CHOM_CHECKPOINT,0,0,0
2024-06-30,ARANYAPRATHET_POIPET,53,0,1
2024-06-30,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-06-30,BAN_KRUAT,0,0,0
2024-06-30,KANTHARALAK,0,0,0
2024-06-30,SAMRAONG,0,0,0
2024-07-07,PREAH_VIHEAR_TEMPLE,0,0,0
2024-07-07,TA_MUEN_THOM_TEMPLE,0,0,0
2024-07-07,TA_KRABEY_TEMPLE,0,0,0
2024-07-07,OSMACH_CHECKPOINT,0,0,0
2024-07-07,CHONG_CHOM_CHECKPOINT,0,0,0
2024-07-07,ARANYAPRATHET_POIPET,0,0,0
2024-07-07,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-07-07,BAN_KRUAT,0,0,0
2024-07-07,KANTHARALAK,0,0,0
2024-07-07,SAMRAONG,0,0,0
2024-07-14,PREAH_VIHEAR_TEMPLE,0,0,0
2024-07-14,TA_MUEN_THOM_TEMPLE,0,0,0
2024-07-14,TA_KRABEY_TEMPLE,0,0,0
2024-07-14,OSMACH_CHECKPOINT,0,0,0
2024-07-14,CHONG_CHOM_CHECKPOINT,0,0,0
2024-07-14,ARANYAPRATHET_POIPET,0,0,0
2024-07-14,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-07-14,BAN_KRUAT,0,0,0
2024-07-14,KANTHARALAK,0,0,0
2024-07-14,SAMRAONG,0,0,0
2024-07-21,PREAH_VIHEAR_TEMPLE,0,0,0
2024-07-21,TA_MUEN_THOM_TEMPLE,0,0,0
2024-07-21,TA_KRABEY_TEMPLE,0,0,0
2024-07-21,OSMACH_CHECKPOINT,0,0,0
2024-07-21,CHONG_CHOM_CHECKPOINT,0,0,0
2024-07-21,ARANYAPRATHET_POIPET,0,0,0
2024-07-21,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-07-21,BAN_KRUAT,0,0,0
2024-07-21,KANTHARALAK,0,0,0
2024-07-21,SAMRAONG,0,0,0
2024-07-28,PREAH_VIHEAR_TEMPLE,0,0,0
2024-07-28,TA_MUEN_THOM_TEMPLE,0,0,0
2024-07-28,TA_KRABEY_TEMPLE,68,1,1
2024-07-28,OSMACH_CHECKPOINT,0,0,0
2024-07-28,CHONG_CHOM_CHECKPOINT,0,0,0
2024-07-28,ARANYAPRATHET_POIPET,0,0,0
2024-07-28,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-07-28,BAN_KRUAT,0,0,0
2024-07-28,KANTHARALAK,0,0,0
2024-07-28,SAMRAONG,0,0,0
2024-08-04,PREAH_VIHEAR_TEMPLE,0,0,0
2024-08-04,TA_MUEN_THOM_TEMPLE,0,0,0
2024-08-04,TA_KRABEY_TEMPLE,0,0,0
2024-08-04,OSMACH_CHECKPOINT,0,0,0
2024-08-04,CHONG_CHOM_CHECKPOINT,0,0,0
2024-08-04,ARANYAPRATHET_POIPET,0,0,0
2024-08-04,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-08-04,BAN_KRUAT,0,0,0
2024-08-04,KANTHARALAK,0,0,0
2024-08-04,SAMRAONG,0,0,0
2024-08-11,PREAH_VIHEAR_TEMPLE,0,0,0
2024-08-11,TA_MUEN_THOM_TEMPLE,0,0,0
2024-08-11,TA_KRABEY_TEMPLE,0,0,0
2024-08-11,OSMACH_CHECKPOINT,0,0,0
2024-08-11,CHONG_CHOM_CHECKPOINT,0,0,0
2024-08-11,ARANYAPRATHET_POIPET,0,0,0
2024-08-11,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-08-11,BAN_KRUAT,0,0,0
2024-08-11,KANTHARALAK,131,1,1
2024-08-11,SAMRAONG,0,0,0
2024-08-18,PREAH_VIHEAR_TEMPLE,0,0,0
2024-08-18,TA_MUEN_THOM_TEMPLE,0,0,0
2024-08-18,TA_KRABEY_TEMPLE,0,0,0
2024-08-18,OSMACH_CHECKPOINT,0,0,0
2024-08-18,CHONG_CHOM_CHECKPOINT,0,0,0
2024-08-18,ARANYAPRATHET_POIPET,0,0,0
2024-08-18,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-08-18,BAN_KRUAT,0,0,0
2024-08-18,KANTHARALAK,0,0,0
2024-08-18,SAMRAONG,0,0,0
2024-08-25,PREAH_VIHEAR_TEMPLE,0,0,0
2024-08-25,TA_MUEN_THOM_TEMPLE,0,0,0
2024-08-25,TA_KRABEY_TEMPLE,0,0,0
2024-08-25,OSMACH_CHECKPOINT,0,0,0
2024-08-25,CHONG_CHOM_CHECKPOINT,0,0,0
2024-08-25,ARANYAPRATHET_POIPET,0,0,0
2024-08-25,PHANOM_DONG_RAK_RIDGE,0,0,0
2024-08-25,BAN_KRUAT,0,0,0
2024-08-25,KANTHARALAK,0,0,0
2024-08-25,SAMRAONG,0,0,0
2024-09-01,PREAH_VIHEAR_TEMPLE,0,0,0
2024-09-01,TA_MUEN_THOM_TEMPLE,0,0,0
2024-09-01,TA_KRABEY_TEMPLE,0,0,0
2024-09-01,OSMACH_CHECKPOINT,0,0,0
